ax,ay,az,gx,gy,gz,session,reading_index
1343,-1589,-214,-945,883,346,2025-11-13_00-08-23,33
636,-1836,-1295,-2825,4795,885,2025-11-13_00-08-23,34
820,-1909,-90,-465,-168,165,2025-11-13_00-08-23,35
795,-1615,-941,3727,-292,102,2025-11-13_00-08-23,36
771,-1810,-73,-1056,81,-50,2025-11-13_00-08-23,37
1910,-1296,-162,-1499,-250,521,2025-11-13_00-08-23,38
735,-1502,-1051,1975,44,564,2025-11-13_00-08-23,39
531,-1876,157,-806,315,79,2025-11-13_00-08-23,40
796,-1695,230,2545,1158,134,2025-11-13_00-08-23,41
876,-2001,-375,-1300,754,-57,2025-11-13_00-08-23,42
1281,-1570,1022,-782,-677,28,2025-11-13_00-08-23,43
1014,-1692,-284,-1696,1405,46,2025-11-13_00-08-23,44
-214,-2006,-119,-999,-819,359,2025-11-13_00-08-23,45
1087,-1908,-486,-2370,2634,369,2025-11-13_00-08-23,46
329,-2002,3,-651,-363,359,2025-11-13_00-08-23,47
968,-1407,-1072,946,726,406,2025-11-13_00-08-23,48
841,-1812,-166,-317,200,158,2025-11-13_00-08-23,49
739,-1778,-470,3260,172,-138,2025-11-13_00-08-23,50
711,-1959,-175,-683,128,-89,2025-11-13_00-08-23,51
794,-1612,53,-996,-886,300,2025-11-13_00-08-23,52
1226,-2065,-411,-2169,2025,-57,2025-11-13_00-08-23,53
1080,-1702,-91,-699,443,135,2025-11-13_00-08-23,54
986,-1193,-1477,-490,433,258,2025-11-13_00-08-23,55
757,-1875,-50,-418,-43,223,2025-11-13_00-08-23,56
798,-1620,-1012,1963,-40,431,2025-11-13_00-09-24,0
490,-1961,-256,-494,192,98,2025-11-13_00-09-24,1
909,-1823,-401,3273,178,-78,2025-11-13_00-09-24,2
777,-1897,-163,-583,-64,22,2025-11-13_00-09-24,3
604,-1558,-7,-961,-498,339,2025-11-13_00-09-24,4
1089,-1982,-217,-1481,316,-145,2025-11-13_00-09-24,5
932,-1788,57,-842,-11,256,2025-11-13_00-09-24,6
942,-1428,-1021,606,1024,446,2025-11-13_00-09-24,7
663,-1893,-205,-543,324,59,2025-11-13_00-09-24,8
1256,-1038,-1256,-384,1164,908,2025-11-13_00-09-24,9
483,-1952,-15,-454,364,258,2025-11-13_00-09-24,10
1404,-1601,-775,1412,1395,983,2025-11-13_00-09-24,11
691,-1853,-54,-508,-14,203,2025-11-13_00-09-24,12
726,-1525,436,1719,256,111,2025-11-13_00-09-24,13
765,-1974,-288,-1021,120,-277,2025-11-13_00-09-24,14
2055,-1129,-786,-1108,-694,760,2025-11-13_00-09-24,15
817,-1839,-1257,-1196,1057,-130,2025-11-13_00-09-24,16
718,-1888,189,-475,-328,256,2025-11-13_00-09-24,17
1024,-1224,-1218,1856,97,588,2025-11-13_00-09-24,18
672,-1877,-126,-508,-202,197,2025-11-13_00-09-24,19
869,-1360,683,1446,-70,26,2025-11-13_00-09-24,20
489,-2451,-179,-1045,694,-286,2025-11-13_00-09-24,21
1111,-1847,-656,-1024,-383,395,2025-11-13_00-09-24,22
764,-1702,-1228,-2403,2569,375,2025-11-13_00-09-24,23
