ax,ay,az,gx,gy,gz,session,reading_index
970,-1560,-1280,3120,-850,1190,2025-11-12_20-07-30,7
760,-2290,-1720,-2650,2880,-30,2025-11-12_20-07-30,8
-200,-1950,-170,-1460,-30,-530,2025-11-12_20-07-30,9
400,-1930,-280,-500,-170,-180,2025-11-12_20-07-30,10
-200,-2330,-500,-230,-1240,-180,2025-11-12_20-07-30,11
440,-2290,-1520,-2210,1680,-520,2025-11-12_20-07-30,12
-70,-950,-250,-1960,1440,-200,2025-11-12_20-07-30,13
600,-850,-1480,4930,1670,2110,2025-11-12_20-07-30,14
380,-1090,-1080,1820,-970,1120,2025-11-12_20-07-30,15
910,-3620,230,-3790,970,-60,2025-11-12_20-07-30,16
200,-1860,-340,-1130,980,-220,2025-11-12_20-07-30,17
100,-1950,-90,-720,480,-420,2025-11-12_20-07-30,18
1310,-2290,-360,-1060,1060,20,2025-11-12_20-07-30,19
1340,-3590,2090,-1830,-2960,-430,2025-11-12_20-07-30,20
820,-2390,-1010,5450,-310,1500,2025-11-12_20-07-30,21
650,-780,-1610,2240,-720,850,2025-11-12_20-07-30,22
740,-3090,150,-3680,1090,-430,2025-11-12_20-07-30,23
-70,-2050,-320,-1300,1310,-20,2025-11-12_20-07-30,24
390,-1960,-220,-650,230,0,2025-11-12_20-07-30,25
430,-1820,-500,-910,150,-320,2025-11-12_20-07-30,26
-1430,-1940,-330,-1800,6940,1300,2025-11-12_20-07-30,27
210,-2180,-1270,110,-660,-180,2025-11-12_20-07-30,28
990,-2790,-940,-1790,230,-650,2025-11-12_20-07-30,29
190,-1970,-140,-520,410,-160,2025-11-12_20-07-30,30
590,-1990,-770,-710,-430,-440,2025-11-12_20-07-30,31
1070,-2210,-1520,-1050,-2650,-240,2025-11-12_20-07-30,32
1550,-2310,-1600,6380,-630,1380,2025-11-12_20-07-30,33
400,-960,-1580,2020,-1340,410,2025-11-12_20-07-30,34
830,-3860,790,-3740,1080,-740,2025-11-12_20-07-30,35
0,-1910,10,-930,530,-160,2025-11-12_20-07-30,36
210,-2050,-310,-490,40,-170,2025-11-12_20-07-30,37
-900,-1920,-680,-430,-740,-100,2025-11-12_20-07-30,38
-460,-1460,310,-1050,2290,-370,2025-11-12_20-07-30,39
430,-750,-1420,1380,400,2320,2025-11-12_20-07-30,40
760,-4200,450,-2780,890,-630,2025-11-12_20-07-30,41
290,-1930,250,-880,-130,-430,2025-11-12_20-07-30,42
870,-1830,-240,-590,-140,-230,2025-11-12_20-07-30,43
-140,-1840,-620,-560,-1130,-490,2025-11-12_20-07-30,44
-290,-2590,-210,-910,-1830,-370,2025-11-12_20-07-30,45
780,-3030,-560,5370,1040,1470,2025-11-12_20-07-30,46
300,-890,-1390,1240,430,1280,2025-11-12_20-07-30,47
1060,-2650,210,-2760,1450,-460,2025-11-12_20-07-30,48
300,-1960,-450,-750,-130,-260,2025-11-12_20-07-30,49
190,-2000,-400,-490,330,-140,2025-11-12_20-07-30,50
3330,-1740,50,110,-1830,390,2025-11-12_20-07-30,51
1000,-1590,-1060,2840,-1850,600,2025-11-12_20-07-30,52
720,-2600,10,-3030,650,-760,2025-11-12_20-07-30,53
50,-1840,90,-1070,280,-330,2025-11-12_20-07-30,54
400,-1920,-140,-680,390,-140,2025-11-12_20-07-30,55
-660,-2240,-510,-330,-2620,-860,2025-11-12_20-07-30,56
690,-741,-585,-2040,1597,-148,2025-11-12_20-08-30,0
969,-891,-1279,4495,722,2022,2025-11-12_20-08-30,1
423,-1234,-1080,153,1054,471,2025-11-12_20-08-30,2
1020,-2771,404,-2962,242,-611,2025-11-12_20-08-30,3
110,-1957,113,-1360,139,-383,2025-11-12_20-08-30,4
296,-1858,-14,-787,44,-334,2025-11-12_20-08-30,5
-142,-1947,-352,716,-1336,372,2025-11-12_20-08-30,6
989,-1572,-1296,3132,-869,1203,2025-11-12_20-08-30,7
772,-2308,-1737,-2658,5900,-45,2025-11-12_20-08-30,8
-214,-1966,-187,-1470,-41,-555,2025-11-12_20-08-30,9
417,-1944,-205,-525,-180,-100,2025-11-12_20-08-30,10
-228,-2358,-522,-255,-1269,-104,2025-11-12_20-08-30,11
456,-2304,-1530,-2225,1706,-542,2025-11-12_20-08-30,12
-96,-976,-277,-1970,1462,-215,2025-11-12_20-08-30,13
612,-863,-1497,4950,1696,2133,2025-11-12_20-08-30,14
409,-1105,-1092,1846,-998,1143,2025-11-12_20-08-30,15
932,-3649,250,-3806,990,-80,2025-11-12_20-08-30,16
